precinct_text_designation,Count
KC12-07,949
KC12-08,620
KC12-09,124
KC12-10,164
KC12-11,348
KC12-12,386
KC12-13,694
KC12-14,312
KC12-15,82
KC12-16,321
KC13-01,1017
KC13-02,840
KC13-03,482
KC13-04,459
KC13-05,133
KC13-06,225
KC13-07,546
KC13-08,657
KC13-09,884
KC13-10,89
KC13-11,724
KC13-12,612
KC13-13,283
KC14-01,923
KC14-02,465
KC14-03,425
KC14-04,796
KC14-05,742
KC14-06,923
KC14-07,1194
KC14-08,913
KC14-09,508
KC14-10,1744
KC14-11,879
KC14-12,1774
KC14-13,1216
KC14-14,1930
KC14-15,845
KC14-16,467
KC14-17,929
KCT,369
KE01,2
KE02,15
KE03,1296
KE04,53
KE07,15
KE08,4
KE10,6
KE101,63
KE102,66
KE17,1
KE19,6
KE21,18
KE26,7
KE60003,26
KMQ,39
L001,740
L002,932
L003,605
L004,995
L140012,36
L1C,528
L250013,69
L2C,613
L3C,585
L4C,606
LA00076,38
LA010,59
LA203,20
LA2801,30
LA2802,26
LA90001,123
LA90002,45
LA90003,23
LAA00,40
LAD,286
LB,409
LB00003,548
LB000UV,65
LB00302,40
LB00303,38
LBL,49
LBM01,120
LC,1062
LC023,73
LC1,738
LC2,1022
LC3,991
LC4,839
LC402,250
LC4MC,57
LCR,31
LE,114
LE0LE,9
LE102,84
LE202,104
LE302,299
LG,36
LG000LG,66
LGK,83
LI,770
LI00011,155
LI00047,339
LI2601,96
LI3001,2
LI3002,38
LI60004,17
LI602,16
LIA00,163
LIN,201
LN,132
LN00004,229
LN00005,176
LN011,39
LN60001,28
LN701,94
LNN01,473
LO,61
LO00049,69
LO0LO,3
LO2801,57
LO3201,20
LO6,72
LO60003,23
LO602,173
LOB0001,31
LOC,46
LOO,161
LR00048,400
LS,85
LS00203,50
LT,788
LT00046,63
LT10006,89
LTT,165
LU50002,33
LVT,287
LY,12
LY00003,228
LYP68N,7
LYP68S,50
LYP70,122
M001,168
M100001,417
M100017,105
M1C,4391
M200001,188
M2C,1382
M300001,437
M3C,923
M4C,1957
MA105,26
MA3401,10
MA3402,10
MAC0000,167
MAE000,306
MAF,299
MAW000,106
MB012,30
MC0000,406
MC00006,547
MC0001,300
MC0MC,25
MC10005,240
MC901,52
MD00051,1269
MD70001,249
MDC,1118
MDT,263
ME,517
MET,178
MF00001,204
MF0005,121
MH00001,437
MI,53
MI00001,973
MI00052,52
MI0029,388
MI01,1573
MI02,637
MI03,4
MI05,3
MI07,35
MI08,35
MI09,332
MI12,2
MI14,136
MI20,3
MI22,2
MI26,23
MI6,173
MI9,257
MIG,244
MIS,638
MN0000,518
MND5,132
MND9,412
MNN,715
MO,1892
MO0025,182
MO0MO,88
MO3001,87
MOB00,259
MOD0002,30
Moscow,357
MP0000,72
MPT,423
MQC,409
MQT,112
MSS,666
MT10003,84
MV01,940
MV02,2668
